image_index,filename,saved_at,camera_frame_index,image_width,image_height,notes
1,obj_1920_000001_20260703_180833_914.jpg,2026-07-03T18:08:33.942,283,1920,1200,
2,obj_1920_000002_20260703_180844_099.jpg,2026-07-03T18:08:44.126,574,1920,1200,
3,obj_1920_000003_20260703_180853_619.jpg,2026-07-03T18:08:53.653,843,1920,1200,
4,obj_1920_000004_20260703_180902_539.jpg,2026-07-03T18:09:02.572,1094,1920,1200,
5,obj_1920_000005_20260703_180918_996.jpg,2026-07-03T18:09:19.037,1554,1920,1200,
6,obj_1920_000006_20260703_180932_272.jpg,2026-07-03T18:09:32.306,1938,1920,1200,
7,obj_1920_000007_20260703_180944_923.jpg,2026-07-03T18:09:44.979,2298,1920,1200,
8,obj_1920_000008_20260703_180957_317.jpg,2026-07-03T18:09:57.345,2647,1920,1200,
9,obj_1920_000009_20260703_181017_184.jpg,2026-07-03T18:10:17.211,3210,1920,1200,
10,obj_1920_000010_20260703_181026_852.jpg,2026-07-03T18:10:26.894,3489,1920,1200,
11,obj_1920_000011_20260703_181040_085.jpg,2026-07-03T18:10:40.113,3867,1920,1200,
12,obj_1920_000012_20260703_181050_499.jpg,2026-07-03T18:10:50.526,4164,1920,1200,
13,obj_1920_000013_20260703_181054_401.jpg,2026-07-03T18:10:54.429,4272,1920,1200,
14,obj_1920_000014_20260703_181107_635.jpg,2026-07-03T18:11:07.662,4647,1920,1200,
15,obj_1920_000015_20260703_181123_832.jpg,2026-07-03T18:11:23.864,5117,1920,1200,
16,obj_1920_000016_20260703_181134_832.jpg,2026-07-03T18:11:34.860,5436,1920,1200,
17,obj_1920_000017_20260703_181145_339.jpg,2026-07-03T18:11:45.394,5737,1920,1200,
18,obj_1920_000018_20260703_181153_931.jpg,2026-07-03T18:11:53.959,5981,1920,1200,
19,obj_1920_000019_20260703_181201_700.jpg,2026-07-03T18:12:01.737,6198,1920,1200,
20,obj_1920_000020_20260703_181212_770.jpg,2026-07-03T18:12:12.805,6516,1920,1200,
